STATION,NAME,DATE,TMAX
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-03-26,64
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-03-27,51
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-03-28,52
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-03-29,56
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-03-30,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-03-31,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-01,74
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-02,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-03,78
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-04,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-05,55
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-06,53
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-07,65
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-08,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-09,58
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-10,69
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-11,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-12,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-13,58
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-14,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-15,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-16,62
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-17,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-18,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-19,65
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-20,70
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-21,70
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-22,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-23,54
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-24,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-25,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-26,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-27,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-28,57
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-29,63
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-04-30,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-01,67
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-02,69
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-03,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-04,61
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-05,56
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-06,63
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-07,69
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-08,62
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-09,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-10,49
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-11,56
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-12,64
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-13,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-14,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-15,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-16,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-17,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-18,74
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-19,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-20,77
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-21,79
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-24,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-25,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-26,73
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-27,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-28,65
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-29,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-30,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-05-31,59
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-01,78
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-02,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-03,86
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-04,88
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-05,71
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-06,69
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-07,66
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-08,63
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-09,62
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-10,60
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-11,55
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-12,68
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-13,76
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-14,80
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-15,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-16,82
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-17,88
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-18,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-19,72
USW00024242,"PORTLAND TROUTDALE AIRPORT, OR US",2000-06-20,81
